time,lasttime,lat,lng,speed,course,altitude,comment
2023-10-14 16:50:02,2023-10-14 16:50:02,32.04233,-101.77117,98,,,"NEBP-WV 13 0.69 alt=10967.7M 379"
2023-10-14 16:50:51,2023-10-14 16:50:51,32.04667,-101.75933,89,,,"NEBP-WV 14 0.66 alt=10183.0M 380"
2023-10-14 16:51:17,2023-10-14 16:51:17,32.04850,-101.75333,83,,,"NEBP-WV 14 0.66 alt=9791.5M 381"
2023-10-14 16:52:06,2023-10-14 16:52:06,32.05200,-101.74217,82,,,"NEBP-WV 15 0.64 alt=9054.8M 382"
2023-10-14 16:52:31,2023-10-14 16:52:31,32.05417,-101.73717,76,,,"NEBP-WV 15 0.64 alt=8696.4M 383"
2023-10-14 16:52:56,2023-10-14 16:52:56,32.05617,-101.73183,79,,,"NEBP-WV 15 0.64 alt=8341.0M 384"
2023-10-14 16:53:22,2023-10-14 16:53:22,32.05783,-101.72617,78,,,"NEBP-WV 15 0.64 alt=7979.1M 385"
2023-10-14 16:53:48,2023-10-14 16:53:48,32.05883,-101.72033,78,,,"NEBP-WV 15 0.64 alt=7625.1M 386"
2023-10-14 16:54:14,2023-10-14 16:54:14,32.05917,-101.71483,72,,,"NEBP-WV 15 0.64 alt=7271.9M 387"
2023-10-14 16:54:41,2023-10-14 16:54:41,32.05917,-101.70967,65,,,"NEBP-WV 16 0.62 alt=6916.8M 388"
2023-10-14 16:55:32,2023-10-14 16:55:32,32.05933,-101.70050,61,,,"NEBP-WV 16 0.62 alt=6259.1M 389"
2023-10-14 16:55:58,2023-10-14 16:55:58,32.05983,-101.69600,59,,,"NEBP-WV 16 0.62 alt=5935.7M 390"
2023-10-14 16:56:24,2023-10-14 16:56:24,32.06000,-101.69200,52,,,"NEBP-WV 16 0.62 alt=5622.5M 391"
2023-10-14 16:56:51,2023-10-14 16:56:51,32.05983,-101.68800,50,,,"NEBP-WV 16 0.62 alt=5310.4M 392"
2023-10-14 16:57:17,2023-10-14 16:57:17,32.05883,-101.68433,50,,,"NEBP-WV 16 0.62 alt=4999.3M 393"
2023-10-14 16:57:43,2023-10-14 16:57:43,32.05767,-101.68100,47,,,"NEBP-WV 16 0.62 alt=4695.6M 394"
2023-10-14 16:58:09,2023-10-14 16:58:09,32.05600,-101.67817,45,,,"NEBP-WV 16 0.62 alt=4400.7M 395"
2023-10-14 16:59:01,2023-10-14 16:59:01,32.05317,-101.67250,43,,,"NEBP-WV 16 0.62 alt=3840.6M 396"
2023-10-14 16:59:51,2023-10-14 16:59:51,32.05100,-101.66633,45,,,"NEBP-WV 16 0.62 alt=3308.3M 397"
2023-10-14 17:00:16,2023-10-14 17:00:16,32.05017,-101.66383,36,,,"NEBP-WV 16 0.62 alt=3041.6M 398"
2023-10-14 17:00:41,2023-10-14 17:00:41,32.04983,-101.66167,30,,,"NEBP-WV 16 0.62 alt=2784.3M 399"
2023-10-14 17:01:06,2023-10-14 17:01:06,32.05033,-101.65933,33,,,"NEBP-WV 16 0.62 alt=2526.1M 400"
2023-10-14 17:01:31,2023-10-14 17:01:31,32.05083,-101.65767,24,,,"NEBP-WV 16 0.62 alt=2280.6M 401"
2023-10-14 17:01:56,2023-10-14 17:01:56,32.05100,-101.65600,23,,,"NEBP-WV 16 0.62 alt=2035.6M 402"
2023-10-14 17:02:21,2023-10-14 17:02:21,32.05083,-101.65517,12,,,"NEBP-WV 17 0.57 alt=1808.7M 403"
2023-10-14 17:02:47,2023-10-14 17:02:47,32.05067,-101.65500,3,,,"NEBP-WV 17 0.57 alt=1547.2M 404"
2023-10-14 17:03:11,2023-10-14 17:03:11,32.05033,-101.65583,13,,,"NEBP-WV 17 0.57 alt=1314.2M 405"
2023-10-14 17:19:01,2023-10-14 18:22:46,32.04833,-101.65817,,,,"NEBP-WV 16 0.66 alt=775.5M 596"
