2023-10-14 09:38:07 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.0M,80
2023-10-14 09:38:33 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.91,alt=889.9M,81
2023-10-14 09:38:59 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=889.8M,82
2023-10-14 09:39:26 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=890.0M,83 [Duplicate position packet]
2023-10-14 09:39:52 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.3M,84
2023-10-14 09:40:18 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.2M,85
2023-10-14 09:40:44 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=890.3M,86 [Duplicate position packet]
2023-10-14 09:41:11 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=890.6M,87 [Duplicate position packet]
2023-10-14 09:41:37 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=890.6M,88 [Duplicate position packet]
2023-10-14 09:42:03 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=890.1M,89 [Duplicate position packet]
2023-10-14 09:42:29 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.90,alt=890.3M,90
2023-10-14 09:42:56 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.5M,91 [Duplicate position packet]
2023-10-14 09:43:22 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.5M,92 [Duplicate position packet]
2023-10-14 09:43:48 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.7M,93 [Duplicate position packet]
2023-10-14 09:44:14 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.2M,94 [Duplicate position packet]
2023-10-14 09:44:41 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=890.1M,95 [Duplicate position packet]
2023-10-14 09:45:07 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.81,alt=890.2M,96 [Duplicate position packet]
2023-10-14 09:45:33 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.81,alt=890.3M,97 [Duplicate position packet]
2023-10-14 09:45:59 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.81,alt=890.2M,98 [Duplicate position packet]
2023-10-14 09:46:26 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,11,0.85,alt=889.7M,99 [Duplicate position packet]
2023-10-14 09:46:52 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,11,0.82,alt=889.9M,100 [Duplicate position packet]
2023-10-14 09:47:18 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.75,alt=889.4M,101 [Duplicate position packet]
2023-10-14 09:47:44 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.75,alt=889.2M,102 [Duplicate position packet]
2023-10-14 09:48:37 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.81,alt=889.0M,104 [Duplicate position packet]
2023-10-14 09:49:03 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.75,alt=889.1M,105 [Duplicate position packet]
2023-10-14 09:49:29 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.75,alt=889.4M,106 [Duplicate position packet]
2023-10-14 09:49:56 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.75,alt=889.5M,107 [Duplicate position packet]
2023-10-14 09:50:22 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.75,alt=889.3M,108 [Duplicate position packet]
2023-10-14 09:50:48 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.75,alt=889.3M,109 [Duplicate position packet]
